,2lc,LR,DO,max_df,model,mean f1,std f1
1,classifier_0,0.001,0.5,0.5,GCN,0.438299611240969,0.015000059089656192
2,classifier_0,0.005,0.5,0.5,GCN,0.7500155323999927,0.00810431984446045
3,classifier_0,0.01,0.5,0.5,GCN,0.7613259967821776,0.007720258625310074
4,classifier_0,0.05,0.5,0.5,GCN,0.7692512288532645,0.015923288333038875
5,classifier_0,0.001,0.7,0.5,GCN,0.3747082721411889,0.009933161249364305
6,classifier_0,0.005,0.7,0.5,GCN,0.7631283300745967,0.0020217534768252675
7,classifier_0,0.01,0.7,0.5,GCN,0.7720408773590858,0.014076009480699033
8,classifier_0,0.05,0.7,0.5,GCN,0.7659806361933482,0.0019243056301071909
9,classifier_0,0.001,0.5,0.5,EGCN,0.7529747135818848,0.00556110846900642
10,classifier_0,0.005,0.5,0.5,EGCN,0.7642548370723156,0.007239986253066988
11,classifier_0,0.01,0.5,0.5,EGCN,0.7636874387248872,0.0021585429756528765
12,classifier_0,0.05,0.5,0.5,EGCN,0.7515344744801337,0.007350852905616891
13,classifier_0,0.001,0.7,0.5,EGCN,0.7634038830637812,0.022223772265829656
14,classifier_0,0.005,0.7,0.5,EGCN,0.7679470581116993,0.010822869754726499
15,classifier_0,0.01,0.7,0.5,EGCN,0.7589125745201774,0.012303169605338877
16,classifier_0,0.05,0.7,0.5,EGCN,0.7545427177406738,0.01343846830002035
17,classifier_1,0.001,0.5,0.5,GCN,0.5851055037630853,0.0068302556678723585
18,classifier_1,0.005,0.5,0.5,GCN,0.7391408781483234,0.0027898035777220113
19,classifier_1,0.01,0.5,0.5,GCN,0.7448848413618613,0.0018792917534912813
20,classifier_1,0.05,0.5,0.5,GCN,0.7513846868606348,0.006623157855528928
21,classifier_1,0.001,0.7,0.5,GCN,0.5546377168334505,0.005044834488986773
22,classifier_1,0.005,0.7,0.5,GCN,0.7414303767480589,0.011775743008856776
23,classifier_1,0.01,0.7,0.5,GCN,0.7530653582417014,0.00558846299050646
24,classifier_1,0.05,0.7,0.5,GCN,0.7437208156701055,0.008010721423946085
25,classifier_1,0.001,0.5,0.5,EGCN,0.7465373019890715,0.01230427426623339
26,classifier_1,0.005,0.5,0.5,EGCN,0.7473017149212337,0.008185843935732377
27,classifier_1,0.01,0.5,0.5,EGCN,0.7480123500941286,0.012675283914682032
28,classifier_1,0.05,0.5,0.5,EGCN,0.7228666173030506,0.02312624952259525
29,classifier_1,0.001,0.7,0.5,EGCN,0.7491956523998105,0.00445414965073667
30,classifier_1,0.005,0.7,0.5,EGCN,0.7462694493635417,0.010360282874197373
31,classifier_1,0.01,0.7,0.5,EGCN,0.7438729192128745,0.008838958931252463
32,classifier_1,0.05,0.7,0.5,EGCN,0.7250217651550103,0.018700225848943288
33,classifier_2,0.001,0.5,0.5,GCN,0.1577357625465385,0.010921928787372802
34,classifier_2,0.005,0.5,0.5,GCN,0.43160484462257315,0.008802219757265002
35,classifier_2,0.01,0.5,0.5,GCN,0.43713868377864046,0.006550650615535679
36,classifier_2,0.05,0.5,0.5,GCN,0.4466053730365742,0.014908749322840373
37,classifier_2,0.001,0.7,0.5,GCN,0.12158724299690267,0.005796566535265596
38,classifier_2,0.005,0.7,0.5,GCN,0.42796759248804733,0.012304493790463647
39,classifier_2,0.01,0.7,0.5,GCN,0.4430831098428645,0.010209251023673252
40,classifier_2,0.05,0.7,0.5,GCN,0.4731813104296451,0.008587223082694355
41,classifier_2,0.001,0.5,0.5,EGCN,0.4298147988730346,0.022992007004833948
42,classifier_2,0.005,0.5,0.5,EGCN,0.4583443132767808,0.01200687586019465
43,classifier_2,0.01,0.5,0.5,EGCN,0.4571296664641957,0.013736443426524409
44,classifier_2,0.05,0.5,0.5,EGCN,0.41157712784150896,0.018413523359123028
45,classifier_2,0.001,0.7,0.5,EGCN,0.4315782897114788,0.009035284375932982
46,classifier_2,0.005,0.7,0.5,EGCN,0.47280803999057724,0.01710325581176939
47,classifier_2,0.01,0.7,0.5,EGCN,0.4574547449956095,0.015587077805346643
48,classifier_2,0.05,0.7,0.5,EGCN,0.4415335077151288,0.024140928357513986
49,classifier_3,0.001,0.5,0.5,GCN,0.4593468304713791,0.009408146584959521
50,classifier_3,0.005,0.5,0.5,GCN,0.6961111465086883,0.011051968665809698
51,classifier_3,0.01,0.5,0.5,GCN,0.6986533287151877,0.012660426304877813
52,classifier_3,0.05,0.5,0.5,GCN,0.705438577983566,0.01387696459823296
53,classifier_3,0.001,0.7,0.5,GCN,0.4336150726541203,0.0016645952742629024
54,classifier_3,0.005,0.7,0.5,GCN,0.6965085505279905,0.0096668643095039
55,classifier_3,0.01,0.7,0.5,GCN,0.7105925734416679,0.009176121147992882
56,classifier_3,0.05,0.7,0.5,GCN,0.6949908048654709,0.002447431953206241
57,classifier_3,0.001,0.5,0.5,EGCN,0.7072250360632912,0.013631872533314039
58,classifier_3,0.005,0.5,0.5,EGCN,0.7036372094642052,0.02054427459679612
59,classifier_3,0.01,0.5,0.5,EGCN,0.6971083212299094,0.00740645713880677
60,classifier_3,0.05,0.5,0.5,EGCN,0.6454031987069639,0.021413689197824215
61,classifier_3,0.001,0.7,0.5,EGCN,0.7045666076139124,0.004282389808991639
62,classifier_3,0.005,0.7,0.5,EGCN,0.6956724813088133,0.000916750734502733
63,classifier_3,0.01,0.7,0.5,EGCN,0.6827430379921315,0.006894530756252339
64,classifier_3,0.05,0.7,0.5,EGCN,0.6845475982500089,0.003482188639650477
65,classifier_4,0.001,0.5,0.5,GCN,0.2534024138482377,0.0005166862447805989
66,classifier_4,0.005,0.5,0.5,GCN,0.5960153625530991,0.01621227175721827
67,classifier_4,0.01,0.5,0.5,GCN,0.6638346491555193,0.03803954258925954
68,classifier_4,0.05,0.5,0.5,GCN,0.6531396265906811,0.012465488352820778
69,classifier_4,0.001,0.7,0.5,GCN,0.23600220347090792,0.003888688041061414
70,classifier_4,0.005,0.7,0.5,GCN,0.6133353368870024,0.011252371635845304
71,classifier_4,0.01,0.7,0.5,GCN,0.654138528104732,0.05154553375744164
72,classifier_4,0.05,0.7,0.5,GCN,0.6710455041697507,0.02931850657654167
73,classifier_4,0.001,0.5,0.5,EGCN,0.6723466999605091,0.0030625174073684053
74,classifier_4,0.005,0.5,0.5,EGCN,0.6588278982742929,0.00977474946489573
75,classifier_4,0.01,0.5,0.5,EGCN,0.6312554697756801,0.022281599292088953
76,classifier_4,0.05,0.5,0.5,EGCN,0.6602589519413824,0.004528809676162969
77,classifier_4,0.001,0.7,0.5,EGCN,0.6599130334041058,0.024825854235975355
78,classifier_4,0.005,0.7,0.5,EGCN,0.6528449444963861,0.01642962328999499
79,classifier_4,0.01,0.7,0.5,EGCN,0.6437081949419577,0.02130568796276441
80,classifier_4,0.05,0.7,0.5,EGCN,0.6362357083883642,0.021007581106972553
81,classifier_5,0.001,0.5,0.5,GCN,0.28159955136645576,0.011061914049577529
82,classifier_5,0.005,0.5,0.5,GCN,0.5337753091268037,0.007713193803586976
83,classifier_5,0.01,0.5,0.5,GCN,0.540955047622395,0.01415027762061839
84,classifier_5,0.05,0.5,0.5,GCN,0.535542626320832,0.0015413869728725968
85,classifier_5,0.001,0.7,0.5,GCN,0.23742380990152823,0.0014970028875411579
86,classifier_5,0.005,0.7,0.5,GCN,0.5356534304950475,0.005576750141331812
87,classifier_5,0.01,0.7,0.5,GCN,0.5411172841761612,0.014047472668231916
88,classifier_5,0.05,0.7,0.5,GCN,0.5458358675685413,0.012680849650890254
89,classifier_5,0.001,0.5,0.5,EGCN,0.5181561992065201,0.013545561621086652
90,classifier_5,0.005,0.5,0.5,EGCN,0.5328197260218032,0.006002604655081059
91,classifier_5,0.01,0.5,0.5,EGCN,0.5331263310536,0.006039655359145876
92,classifier_5,0.05,0.5,0.5,EGCN,0.4656724580474803,0.015686030109449214
93,classifier_5,0.001,0.7,0.5,EGCN,0.5343377492498468,0.013427659399886115
94,classifier_5,0.005,0.7,0.5,EGCN,0.5422876798015257,0.009865754098165506
95,classifier_5,0.01,0.7,0.5,EGCN,0.5497470133340875,0.010383846386253835
96,classifier_5,0.05,0.7,0.5,EGCN,0.4979677949545629,0.010438931726896906
97,classifier_0,0.001,0.5,0.6,GCN,0.43041153716439123,0.024150122143455233
98,classifier_0,0.005,0.5,0.6,GCN,0.7563606484547861,0.004579023587021921
99,classifier_0,0.01,0.5,0.6,GCN,0.7698271472685437,0.014096653887689332
100,classifier_0,0.05,0.5,0.6,GCN,0.7640080164671462,0.018279274057565
101,classifier_0,0.001,0.7,0.6,GCN,0.3714517324611852,0.004402414996674926
102,classifier_0,0.005,0.7,0.6,GCN,0.7594062126967024,0.012460823777307065
103,classifier_0,0.01,0.7,0.6,GCN,0.766831384306724,0.013743155553447689
104,classifier_0,0.05,0.7,0.6,GCN,0.7689108325041518,0.014106789938170375
105,classifier_0,0.001,0.5,0.6,EGCN,0.7621114020551158,0.0059007870815875095
106,classifier_0,0.005,0.5,0.6,EGCN,0.7654316143326128,0.0053010506849175375
107,classifier_0,0.01,0.5,0.6,EGCN,0.7607453059953125,0.011519966961547714
108,classifier_0,0.05,0.5,0.6,EGCN,0.7311192709416462,0.0066550127523378804
109,classifier_0,0.001,0.7,0.6,EGCN,0.7715924204599234,0.00977569553072655
110,classifier_0,0.005,0.7,0.6,EGCN,0.7594336716516207,0.012428346615484405
111,classifier_0,0.01,0.7,0.6,EGCN,0.7561211228845065,0.010357276697843473
112,classifier_0,0.05,0.7,0.6,EGCN,0.7537481957318373,0.008983032832645569
113,classifier_1,0.001,0.5,0.6,GCN,0.5763574949766515,0.005440740978353495
114,classifier_1,0.005,0.5,0.6,GCN,0.7371130752129113,0.008876934254062363
115,classifier_1,0.01,0.5,0.6,GCN,0.7452004359253047,0.019435074662411626
116,classifier_1,0.05,0.5,0.6,GCN,0.746348913266064,0.007947366563457075
117,classifier_1,0.001,0.7,0.6,GCN,0.552638997620572,0.008595191216136791
118,classifier_1,0.005,0.7,0.6,GCN,0.7459435653828289,0.008151108274054906
119,classifier_1,0.01,0.7,0.6,GCN,0.7415421344639017,0.012787290216449669
120,classifier_1,0.05,0.7,0.6,GCN,0.7544217699339621,0.006968491523942807
121,classifier_1,0.001,0.5,0.6,EGCN,0.7460698102823377,0.014245251124881345
122,classifier_1,0.005,0.5,0.6,EGCN,0.7424756296586055,0.010574101806296523
123,classifier_1,0.01,0.5,0.6,EGCN,0.7423154784889286,0.005757163423451068
124,classifier_1,0.05,0.5,0.6,EGCN,0.7111465196042364,0.019535548056498087
125,classifier_1,0.001,0.7,0.6,EGCN,0.7512223081733341,0.0046739183114443425
126,classifier_1,0.005,0.7,0.6,EGCN,0.7495735674358879,0.010445023547566715
127,classifier_1,0.01,0.7,0.6,EGCN,0.731430022751458,0.013214443290533801
128,classifier_1,0.05,0.7,0.6,EGCN,0.7372456684643597,0.009140658460282936
129,classifier_2,0.001,0.5,0.6,GCN,0.1565380407827566,0.012410424734892855
130,classifier_2,0.005,0.5,0.6,GCN,0.41717669828904097,0.003459120809295558
131,classifier_2,0.01,0.5,0.6,GCN,0.43138965576009275,0.008012010689667748
132,classifier_2,0.05,0.5,0.6,GCN,0.44956918852512145,0.021593549259205584
133,classifier_2,0.001,0.7,0.6,GCN,0.11675395892992652,0.008096592318521207
134,classifier_2,0.005,0.7,0.6,GCN,0.4330045963049325,0.0162789071764237
135,classifier_2,0.01,0.7,0.6,GCN,0.456329042839066,0.011914734905184052
136,classifier_2,0.05,0.7,0.6,GCN,0.46069025839967526,0.02345381761891476
137,classifier_2,0.001,0.5,0.6,EGCN,0.43639778577985916,0.015041888291414915
138,classifier_2,0.005,0.5,0.6,EGCN,0.4510649762458187,0.018738111722918647
139,classifier_2,0.01,0.5,0.6,EGCN,0.45860771564120933,0.009401032522777691
140,classifier_2,0.05,0.5,0.6,EGCN,0.41945612375522595,0.029203524000329197
141,classifier_2,0.001,0.7,0.6,EGCN,0.4451846904175097,0.015060656616154739
142,classifier_2,0.005,0.7,0.6,EGCN,0.460489427137917,0.01077958150077024
143,classifier_2,0.01,0.7,0.6,EGCN,0.4606950583446132,0.02438798515726577
144,classifier_2,0.05,0.7,0.6,EGCN,0.44684066553888346,0.004603822655273529
145,classifier_3,0.001,0.5,0.6,GCN,0.4585366736826579,0.010821849996847538
146,classifier_3,0.005,0.5,0.6,GCN,0.6928701313036041,0.004514185456344488
147,classifier_3,0.01,0.5,0.6,GCN,0.7037421211872683,0.011178718773665821
148,classifier_3,0.05,0.5,0.6,GCN,0.7005678710908495,0.010148900577871722
149,classifier_3,0.001,0.7,0.6,GCN,0.4310093713813887,0.006092293672233419
150,classifier_3,0.005,0.7,0.6,GCN,0.695869495770172,0.01621893129265297
151,classifier_3,0.01,0.7,0.6,GCN,0.707910015409838,0.009301662102366283
152,classifier_3,0.05,0.7,0.6,GCN,0.695477743664369,0.008755249884430265
153,classifier_3,0.001,0.5,0.6,EGCN,0.7055363283988344,0.004462986077806788
154,classifier_3,0.005,0.5,0.6,EGCN,0.6996372200018875,0.0094779945873759
155,classifier_3,0.01,0.5,0.6,EGCN,0.6931321947306467,0.005436336894104333
156,classifier_3,0.05,0.5,0.6,EGCN,0.6631567990958739,0.020124134569406253
157,classifier_3,0.001,0.7,0.6,EGCN,0.7033794735767106,0.0032567185985697892
158,classifier_3,0.005,0.7,0.6,EGCN,0.6906947346733653,0.004360141526290488
159,classifier_3,0.01,0.7,0.6,EGCN,0.6747294969739777,0.014433841051396378
160,classifier_3,0.05,0.7,0.6,EGCN,0.6842666223252221,0.015433305646583446
161,classifier_4,0.001,0.5,0.6,GCN,0.2488409920897896,0.0038688178828402975
162,classifier_4,0.005,0.5,0.6,GCN,0.6071592558248792,0.010637703425539371
163,classifier_4,0.01,0.5,0.6,GCN,0.6682609980931805,0.007246316885453345
164,classifier_4,0.05,0.5,0.6,GCN,0.6393929476480489,0.0211903353477407
165,classifier_4,0.001,0.7,0.6,GCN,0.2342538735462728,0.0034563470114602375
166,classifier_4,0.005,0.7,0.6,GCN,0.5983049804092481,0.015172990441873084
167,classifier_4,0.01,0.7,0.6,GCN,0.6359034105460397,0.012991557755434664
168,classifier_4,0.05,0.7,0.6,GCN,0.6732910495177414,0.01382101117892732
169,classifier_4,0.001,0.5,0.6,EGCN,0.6538640478755741,0.014239636878332908
170,classifier_4,0.005,0.5,0.6,EGCN,0.6731489174921631,0.015566130981180372
171,classifier_4,0.01,0.5,0.6,EGCN,0.6547835103029359,0.0061073276135361395
172,classifier_4,0.05,0.5,0.6,EGCN,0.6076039184219236,0.005626360493677015
173,classifier_4,0.001,0.7,0.6,EGCN,0.6690421714470295,0.01583619595094146
174,classifier_4,0.005,0.7,0.6,EGCN,0.6332508327274505,0.027044542278075605
175,classifier_4,0.01,0.7,0.6,EGCN,0.5986056079410895,0.02580037453328249
176,classifier_4,0.05,0.7,0.6,EGCN,0.6551613528254485,0.005571796598090932
177,classifier_5,0.001,0.5,0.6,GCN,0.29067124166797903,0.018449868533569683
178,classifier_5,0.005,0.5,0.6,GCN,0.5305404215116217,0.014103764390884085
179,classifier_5,0.01,0.5,0.6,GCN,0.5360181077378713,0.0034849759280921847
180,classifier_5,0.05,0.5,0.6,GCN,0.5414320967483016,0.003171445918303828
181,classifier_5,0.001,0.7,0.6,GCN,0.24682559693288497,0.023721871576693632
182,classifier_5,0.005,0.7,0.6,GCN,0.5412967398992546,0.009858048318286019
183,classifier_5,0.01,0.7,0.6,GCN,0.5417686552134976,0.009958237954164685
184,classifier_5,0.05,0.7,0.6,GCN,0.5460720368697305,0.004731066200767335
185,classifier_5,0.001,0.5,0.6,EGCN,0.5303305600004805,0.007372277756639906
186,classifier_5,0.005,0.5,0.6,EGCN,0.5263649950149619,0.01126936676687043
187,classifier_5,0.01,0.5,0.6,EGCN,0.5424874452349405,0.007842720321874394
188,classifier_5,0.05,0.5,0.6,EGCN,0.4707269996783697,0.03157241044712005
189,classifier_5,0.001,0.7,0.6,EGCN,0.5373371254061087,0.014319328306979788
190,classifier_5,0.005,0.7,0.6,EGCN,0.5511655252588242,0.008637215436847524
191,classifier_5,0.01,0.7,0.6,EGCN,0.5410780958040734,0.007202792079009141
192,classifier_5,0.05,0.7,0.6,EGCN,0.49790103389420537,0.011016755983113235
193,classifier_0,0.001,0.5,0.7,GCN,0.4309648229144769,0.01053502275680051
194,classifier_0,0.005,0.5,0.7,GCN,0.7574553908697538,0.008046668991001232
195,classifier_0,0.01,0.5,0.7,GCN,0.7468060847507682,0.015547331898053202
196,classifier_0,0.05,0.5,0.7,GCN,0.7637943084145621,0.009678264830404426
197,classifier_0,0.001,0.7,0.7,GCN,0.3768318449492953,0.010002965892554434
198,classifier_0,0.005,0.7,0.7,GCN,0.7548122190446777,0.010673786235302655
199,classifier_0,0.01,0.7,0.7,GCN,0.7676041965426902,0.0014867414244347464
200,classifier_0,0.05,0.7,0.7,GCN,0.770276896857216,0.012182052975470163
201,classifier_0,0.001,0.5,0.7,EGCN,0.7581262094777362,0.0016905288553800385
202,classifier_0,0.005,0.5,0.7,EGCN,0.7685444132375556,0.008312638548584954
203,classifier_0,0.01,0.5,0.7,EGCN,0.759523149535478,0.014546893890474817
204,classifier_0,0.05,0.5,0.7,EGCN,0.7383874597402477,0.012469571150037882
205,classifier_0,0.001,0.7,0.7,EGCN,0.768618218002027,0.014758450936840101
206,classifier_0,0.005,0.7,0.7,EGCN,0.7611558316789756,0.017768554585927045
207,classifier_0,0.01,0.7,0.7,EGCN,0.7706301361387641,0.007243879491288659
208,classifier_0,0.05,0.7,0.7,EGCN,0.7506487368466206,0.0026361142692246466
209,classifier_1,0.001,0.5,0.7,GCN,0.5735131582244959,0.003409518869592026
210,classifier_1,0.005,0.5,0.7,GCN,0.7364347693095593,0.005775258641486058
211,classifier_1,0.01,0.5,0.7,GCN,0.7446678649869534,0.011351549635594883
212,classifier_1,0.05,0.5,0.7,GCN,0.750287157352859,0.01283031471525898
213,classifier_1,0.001,0.7,0.7,GCN,0.5557796933029201,0.002267443319377166
214,classifier_1,0.005,0.7,0.7,GCN,0.7469110203175545,0.011202663325686105
215,classifier_1,0.01,0.7,0.7,GCN,0.7526126586599098,0.014303213396823748
216,classifier_1,0.05,0.7,0.7,GCN,0.7519044341172013,0.009683068595152524
217,classifier_1,0.001,0.5,0.7,EGCN,0.7431577608413051,0.0012570557223871546
218,classifier_1,0.005,0.5,0.7,EGCN,0.7420449113313031,0.013616586753316772
219,classifier_1,0.01,0.5,0.7,EGCN,0.7405113107186964,0.007098190673142966
220,classifier_1,0.05,0.5,0.7,EGCN,0.7066333578256896,0.01384902225171128
221,classifier_1,0.001,0.7,0.7,EGCN,0.7534826533109222,0.016804980756249747
222,classifier_1,0.005,0.7,0.7,EGCN,0.7525201809529896,0.0019097603057802815
223,classifier_1,0.01,0.7,0.7,EGCN,0.7430948796620057,0.02051205584864416
224,classifier_1,0.05,0.7,0.7,EGCN,0.7358465384218017,0.007638310086959769
225,classifier_2,0.001,0.5,0.7,GCN,0.15377833359595497,0.008097260393779646
226,classifier_2,0.005,0.5,0.7,GCN,0.4222486488345023,0.041095311493279635
227,classifier_2,0.01,0.5,0.7,GCN,0.4252274509709673,0.004617641306876952
228,classifier_2,0.05,0.5,0.7,GCN,0.45758270429113995,0.01993660352034002
229,classifier_2,0.001,0.7,0.7,GCN,0.11780395351664323,0.0062330320635993735
230,classifier_2,0.005,0.7,0.7,GCN,0.4139029063030935,0.024252179024442527
231,classifier_2,0.01,0.7,0.7,GCN,0.4383368310869597,0.01853472423467056
232,classifier_2,0.05,0.7,0.7,GCN,0.47664118261641725,0.0077025725726431755
233,classifier_2,0.001,0.5,0.7,EGCN,0.43767216048558827,0.02862241925405422
234,classifier_2,0.005,0.5,0.7,EGCN,0.4574454298888706,0.00962407392023189
235,classifier_2,0.01,0.5,0.7,EGCN,0.4444981493773195,0.020807501979585724
236,classifier_2,0.05,0.5,0.7,EGCN,0.41917147464709587,0.0350557605538935
237,classifier_2,0.001,0.7,0.7,EGCN,0.4563451905868001,0.014902703630244664
238,classifier_2,0.005,0.7,0.7,EGCN,0.45426303961931286,0.012313975740616418
239,classifier_2,0.01,0.7,0.7,EGCN,0.4564712063525323,0.009216887929612888
240,classifier_2,0.05,0.7,0.7,EGCN,0.46256124597019754,0.02209479521041746
241,classifier_3,0.001,0.5,0.7,GCN,0.45336938692852424,0.021099169662308796
242,classifier_3,0.005,0.5,0.7,GCN,0.6984848563492799,0.013373987213327004
243,classifier_3,0.01,0.5,0.7,GCN,0.7144797907311639,0.005805343081225614
244,classifier_3,0.05,0.5,0.7,GCN,0.69424592122304,0.007528950494093718
245,classifier_3,0.001,0.7,0.7,GCN,0.42466134602554484,0.01397360937984032
246,classifier_3,0.005,0.7,0.7,GCN,0.6981539440286616,0.013293242660815116
247,classifier_3,0.01,0.7,0.7,GCN,0.7080599033054787,0.003220320168031806
248,classifier_3,0.05,0.7,0.7,GCN,0.6879412807737304,0.008225762992700872
249,classifier_3,0.001,0.5,0.7,EGCN,0.7114937257629498,0.006217784390000516
250,classifier_3,0.005,0.5,0.7,EGCN,0.6940236505111064,0.015548775408797271
251,classifier_3,0.01,0.5,0.7,EGCN,0.6876438001610442,0.013436503919004396
252,classifier_3,0.05,0.5,0.7,EGCN,0.6566301042482265,0.009144702196585471
253,classifier_3,0.001,0.7,0.7,EGCN,0.7014857978917294,0.009036059897675914
254,classifier_3,0.005,0.7,0.7,EGCN,0.6861809751136461,0.009754837192344079
255,classifier_3,0.01,0.7,0.7,EGCN,0.6818587911510017,0.009440288993962589
256,classifier_3,0.05,0.7,0.7,EGCN,0.6761610186849639,0.00947271783698434
257,classifier_4,0.001,0.5,0.7,GCN,0.2511959400656308,0.002063514293261604
258,classifier_4,0.005,0.5,0.7,GCN,0.6242866691099461,0.032577022487086466
259,classifier_4,0.01,0.5,0.7,GCN,0.6319076100139204,0.02183256613013343
260,classifier_4,0.05,0.5,0.7,GCN,0.6595795136714169,0.044199386694251386
261,classifier_4,0.001,0.7,0.7,GCN,0.24006280229283158,0.003538189224528692
262,classifier_4,0.005,0.7,0.7,GCN,0.6019945867344839,0.013400695974447608
263,classifier_4,0.01,0.7,0.7,GCN,0.6700882213268554,0.02248382629138292
264,classifier_4,0.05,0.7,0.7,GCN,0.6865230336296969,0.021827288903286272
265,classifier_4,0.001,0.5,0.7,EGCN,0.6318026543217489,0.015379022112597883
266,classifier_4,0.005,0.5,0.7,EGCN,0.6624181934276007,0.029564773090981634
267,classifier_4,0.01,0.5,0.7,EGCN,0.6648736648881804,0.018386694225908183
268,classifier_4,0.05,0.5,0.7,EGCN,0.6433086360339826,0.05032275110836066
269,classifier_4,0.001,0.7,0.7,EGCN,0.6722120294352316,0.02035241919241935
270,classifier_4,0.005,0.7,0.7,EGCN,0.63227621640902,0.0187276151380895
271,classifier_4,0.01,0.7,0.7,EGCN,0.6274483842998347,0.02279734197256827
272,classifier_4,0.05,0.7,0.7,EGCN,0.6164937628184389,0.024510098689185723
273,classifier_5,0.001,0.5,0.7,GCN,0.2913113905090701,0.012034311846993065
274,classifier_5,0.005,0.5,0.7,GCN,0.5365045752327938,0.010512091861616415
275,classifier_5,0.01,0.5,0.7,GCN,0.5339161135094318,0.006897059316043228
276,classifier_5,0.05,0.5,0.7,GCN,0.5430247858389725,0.009350649325572145
277,classifier_5,0.001,0.7,0.7,GCN,0.2393391767158465,0.010682958655210734
278,classifier_5,0.005,0.7,0.7,GCN,0.5388898045682932,0.010248715283495734
279,classifier_5,0.01,0.7,0.7,GCN,0.544880139354566,0.000625714595973712
280,classifier_5,0.05,0.7,0.7,GCN,0.5481602001780242,0.007136152872309293
281,classifier_5,0.001,0.5,0.7,EGCN,0.5269208245465361,0.008538536971822398
282,classifier_5,0.005,0.5,0.7,EGCN,0.527722941688095,0.005946755321405548
283,classifier_5,0.01,0.5,0.7,EGCN,0.5277886247409108,0.010743438805540309
284,classifier_5,0.05,0.5,0.7,EGCN,0.44202310769661307,0.017712573724599348
285,classifier_5,0.001,0.7,0.7,EGCN,0.5374045346343536,0.007956789636774235
286,classifier_5,0.005,0.7,0.7,EGCN,0.5477430265055605,0.0047862218966582964
287,classifier_5,0.01,0.7,0.7,EGCN,0.5405937670156434,0.003069907800489372
288,classifier_5,0.05,0.7,0.7,EGCN,0.4914911883426875,0.030490146305038837
